regime_change_date,information_shift
2016-04-28,0.21708661317825317
2016-05-18,0.16976135969161987
2016-06-13,0.3598836064338684
2016-07-06,0.18165820837020874
2016-07-25,0.23561644554138184
2016-10-06,0.2255820631980896
2016-11-02,0.21664392948150635
2017-06-16,0.2669945955276489
2017-07-07,0.2832460403442383
2018-02-14,0.2248678207397461
2018-03-20,0.33839917182922363
2018-04-11,0.32437700033187866
2018-05-02,0.34412872791290283
2018-10-09,0.31132572889328003
2018-11-19,0.27425527572631836
2018-12-04,0.2745569944381714
2019-01-07,0.26462745666503906
2019-02-05,0.30906784534454346
2019-05-08,0.37589412927627563
2019-06-13,0.36065250635147095
2019-08-05,0.22530466318130493
2019-08-26,0.24732398986816406
2019-09-16,0.343400776386261
2019-10-11,0.2157827615737915
2020-02-25,0.2924386262893677
2020-03-20,0.11863553524017334
2020-08-14,0.23635250329971313
2020-09-04,0.23206984996795654
2020-09-28,0.2576228976249695
2020-12-03,0.2800605297088623
2021-02-01,0.27203649282455444
2021-02-22,
2021-03-18,0.3673356771469116
2021-04-20,0.1085614562034607
2021-04-27,0.2763001322746277
2021-05-26,0.2362106442451477
2021-09-15,0.2044559121131897
2021-10-18,0.2252708077430725
2021-11-24,0.2895466685295105
2021-12-27,0.24850422143936157
2022-01-06,0.2794926166534424
2022-03-17,0.15622711181640625
2022-04-07,0.21949166059494019
2022-05-26,0.28446638584136963
2022-06-10,0.21391594409942627
2022-06-30,0.22017967700958252
2022-08-24,0.21308660507202148
2022-11-01,0.21554046869277954
2022-12-09,0.35482901334762573
2023-01-05,0.32513731718063354
2023-02-22,0.19391536712646484
2023-03-22,0.24388819932937622
2023-04-20,0.2898821234703064
2023-05-03,0.290571928024292
2023-08-01,0.205704927444458
2023-11-02,0.17572695016860962
2023-11-24,0.2986627221107483
2024-04-08,0.24705731868743896
2024-05-06,0.15630751848220825
2024-05-14,0.21331024169921875
2024-07-23,0.2740861773490906
2024-08-14,0.24291765689849854
2024-10-02,0.37822985649108887
2024-11-12,0.1436065435409546
2024-11-21,0.2581673860549927
2024-12-23,0.23970943689346313
2025-02-26,0.1493849754333496
2025-04-04,0.019318342208862305
2025-06-05,0.019409537315368652
2025-10-13,0.020748019218444824
2025-12-19,0.015181958675384521
2026-01-29,0.030353307723999023
